TWA\TWS;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70
0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
10;0.00;0.20;0.40;0.51;0.61;0.72;0.69;0.67;0.64;0.56;0.47;0.50;0.52;0.44;0.37;0.31;0.26;0.21;0.17;0.17;0.17;0.14;0.12;0.09;0.07;0.08;0.05;0.05;0.05;0.04;0.03;0.02;0.02;0.01;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
30;0.00;0.86;1.73;2.57;3.41;4.05;4.44;4.83;5.22;5.50;5.78;6.13;6.48;6.58;6.68;6.74;6.79;6.84;6.89;6.89;6.98;7.03;7.08;7.13;7.18;7.18;7.28;7.28;7.28;7.33;7.38;7.38;7.38;7.38;7.38;7.38;7.38;7.38;7.38;7.38;7.38;7.30;7.21;7.13;7.04;6.96;6.87;6.79;6.70;6.62;6.53;6.45;6.38;6.30;6.23;6.15;6.08;6.00;5.93;5.85;5.78;5.51;5.25;4.99;4.72;4.46;4.20;3.93;3.67;3.40;3.14
33;0.00;1.00;2.00;2.97;3.94;4.74;5.15;5.55;5.96;6.30;6.64;7.07;7.50;7.69;7.88;7.94;8.00;8.03;8.06;8.01;8.08;8.19;8.29;8.25;8.21;8.36;8.44;8.37;8.30;8.43;8.57;8.48;8.40;8.40;8.40;8.40;8.44;8.49;8.53;8.57;8.62;8.50;8.39;8.28;8.16;8.05;7.94;7.83;7.71;7.60;7.49;7.40;7.31;7.23;7.14;7.05;6.97;6.88;6.79;6.71;6.62;6.33;6.05;5.76;5.47;5.19;4.90;4.61;4.33;4.04;3.75
36;0.00;1.12;2.25;3.36;4.47;5.39;5.82;6.25;6.68;7.07;7.47;7.95;8.44;8.70;8.96;9.02;9.09;9.12;9.16;9.08;9.15;9.28;9.41;9.34;9.27;9.49;9.55;9.46;9.38;9.54;9.70;9.59;9.48;9.48;9.49;9.50;9.54;9.59;9.64;9.69;9.74;9.60;9.47;9.34;9.20;9.07;8.94;8.80;8.67;8.54;8.40;8.31;8.21;8.12;8.02;7.92;7.83;7.73;7.63;7.54;7.44;7.13;6.82;6.50;6.19;5.88;5.56;5.25;4.94;4.62;4.31
39;0.00;1.23;2.46;3.72;4.99;5.98;6.44;6.89;7.34;7.79;8.24;8.73;9.23;9.49;9.76;9.85;9.95;10.03;10.11;10.05;10.14;10.25;10.37;10.38;10.40;10.53;10.54;10.56;10.57;10.65;10.73;10.70;10.67;10.70;10.73;10.75;10.73;10.70;10.68;10.65;10.63;10.49;10.35;10.21;10.07;9.93;9.79;9.66;9.52;9.38;9.24;9.14;9.04;8.94;8.83;8.73;8.63;8.53;8.43;8.33;8.23;7.88;7.53;7.18;6.83;6.49;6.14;5.79;5.44;5.10;4.75
42;0.00;1.33;2.65;4.02;5.39;6.42;6.93;7.45;7.96;8.37;8.78;9.27;9.75;9.99;10.23;10.37;10.51;10.61;10.71;10.64;10.74;10.83;10.92;10.97;11.02;11.11;11.11;11.16;11.21;11.30;11.39;11.37;11.35;11.39;11.42;11.45;11.44;11.42;11.40;11.38;11.36;11.21;11.07;10.92;10.78;10.63;10.49;10.35;10.20;10.06;9.91;9.80;9.69;9.58;9.47;9.36;9.25;9.14;9.03;8.92;8.81;8.44;8.07;7.70;7.32;6.95;6.58;6.21;5.84;5.47;5.10
45;0.00;1.42;2.84;4.28;5.73;6.79;7.38;7.96;8.55;8.88;9.22;9.67;10.13;10.33;10.53;10.73;10.92;11.02;11.12;11.05;11.14;11.21;11.27;11.32;11.37;11.47;11.47;11.52;11.57;11.71;11.86;11.82;11.78;11.81;11.84;11.88;11.90;11.93;11.95;11.98;12.01;11.86;11.71;11.56;11.40;11.25;11.10;10.95;10.80;10.65;10.50;10.38;10.26;10.14;10.02;9.90;9.78;9.66;9.54;9.42;9.30;8.91;8.52;8.13;7.74;7.35;6.96;6.57;6.18;5.79;5.40
50;0.00;1.52;3.04;4.61;6.18;7.27;7.85;8.44;9.02;9.32;9.62;10.08;10.53;10.74;10.94;11.14;11.34;11.44;11.55;11.47;11.57;11.67;11.78;11.88;11.98;12.08;12.18;12.22;12.27;12.37;12.47;12.52;12.57;12.60;12.63;12.67;12.69;12.71;12.73;12.76;12.78;12.63;12.48;12.33;12.18;12.04;11.89;11.74;11.59;11.44;11.29;11.16;11.04;10.91;10.78;10.65;10.52;10.39;10.26;10.13;10.00;9.58;9.16;8.74;8.32;7.90;7.48;7.06;6.64;6.22;5.80
55;0.00;1.62;3.24;4.91;6.58;7.70;8.28;8.85;9.43;9.68;9.93;10.44;10.94;11.09;11.24;11.44;11.65;11.80;11.96;11.93;12.08;12.17;12.27;12.42;12.57;12.68;12.78;12.87;12.97;13.12;13.27;13.32;13.37;13.43;13.50;13.56;13.58;13.60;13.62;13.64;13.66;13.50;13.35;13.19;13.04;12.88;12.72;12.57;12.41;12.25;12.10;11.96;11.82;11.68;11.54;11.40;11.26;11.12;10.98;10.84;10.70;10.25;9.80;9.35;8.91;8.46;8.01;7.56;7.11;6.66;6.21
